STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,SIZE_CLASS,Employment size class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7,V7 Breakdowns
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2021,,82.8448,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2023,,82.9364,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2014,,82.6336,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2020,,83.3165,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2018,,82.7903,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2019,,83.3104,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2012,,79.6677,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2013,,79.8574,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,COL,Colombia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2013,,66.55433867,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,COL,Colombia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2014,,67.00346706,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
